id,titulo,descricao,status,data
32,cobrança abusiva na fatura,recebi uma fatura com consumo 6 vezes maior do que o meujá fiz reclamação na ouvidoria que informou não haver nenhum sinal d,Não respondida,Há 16 horas
33,Estou sendo cobrado por uma conta que já paguei.,"Minha conta venceu no dia 20 de dezembro 2023, paguei no dia 2 de janeiro de 2024,:e consta no sistema que tenho esse débito. No d",Não respondida,Há 16 horas
34,PAGUEI UMA CONTA ACESSANDO UM SITE DE EMISSÃO DE SEGUNDA VIA DA EMPRESA E DEPOIS DESCOBRI QUE HAVIA SOFRIDO UM [Editado pelo Reclame Aqui],"No dia de 07/12/2023, realizei o pagamento de uma conta da ligth no valor de R$ 370, 93 (trezentos e setenta reais e noventa e trê",Não respondida,Há 16 horas
35,Energia caindo toda noite,"Toda noite a energia simplesmente caí, oscila o tempo inteiro. A luz fica piscando o tempo inteiro, fica tão baixa que é impossíve",Não respondida,Há 16 horas
36,Falta de Luz Ilha do governador (4),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de l,Não respondida,Há 16 horas
37,Falta de agendamento para serviço de alteração de carga,"Dia 17/01/24 fui a light pedir alteração de carga, já estava tudo pronto em casa de acordo com padrão light exigido. Ao fazer a so",Não respondida,Há 17 horas
38,Poda de Árvore,"Na Rua Luis Vahia Monteiro na altura do número 138, no Jardim Guanabara, Ilha do Governador, tem uma árvore que se encontra junto",Não respondida,Há 17 horas
39,Falta de luz recorrente,Falta luz no bairro de campo grande recorrentemente. Várias vezes ao dia o fornecimento e interrompido e esse problema já se esten,Não respondida,Há 17 horas
40,A LIGHT ESTÁ FALINDO?,"Sou cliente da Light a mais de 40 anos, mas o respeito e a consideração com os seus consumidores é menos que zero.E isso aco",Não respondida,Há 18 horas
41,QUEDA DE LUZ E QUEIMA DE ELETRODOMÉSTICO,"No meu condomínio costuma ter muitas quedas de luz e dentre uma dessas quedas a minha televisão pifou. Abri protocolo, fiz orçame",Não respondida,Há 18 horas
